id,text,Joy,Fear,Anger,Sadness,Disgust,Surprise
11001,"During the period of falling in love, each time that we met and  especially when we had not met for a long time.",1,0,0,0,0,
11001,When I was involved in a traffic accident.,0,1,0,0,0,
11001,"When I was driving home after  several days of hard work, there  was a motorist ahead of me who was driving at 50 km/hour and  refused, despite his low speeed to let me overtake.",0,0,1,0,0,
11001,When I lost the person who meant the most to me. ,0,0,0,1,0,
11001,"The time I knocked a deer down - the sight of the animal's  injuries and helplessness.  The realization that the animal was  so badly hurt that it had to be put down, and when the animal  screamed at the moment of death.",0,0,0,0,1,
11002,When I got a letter offering me the Summer job that I had applied  for.  ,1,0,0,0,0,
11002,When I was going home alone one night in Paris and a man came up  behind me and asked me if I was not afraid to be out alone so  late at night.,0,1,0,0,0,
11002,When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,0,0,1,0,0,
11002,When my friends did not ask me to go to a New Year's party  with them.,0,0,0,1,0,
11002,When I saw all the very drunk kids (13-14 years old) in town on  Walpurgis night.,0,0,0,0,1,
11003,[ On days when I feel close to my partner and other friends.   When I feel at peace with myself and also experience a close  contact with people whom I regard greatly.],1,0,0,0,0,
11003,"Every time I imagine that someone I love or I could contact a  serious illness, even death.",0,1,0,0,0,
11003,When I had been obviously unjustly treated and had no possibility  of elucidating this.,0,0,1,0,0,
11003,When I think about the short time that we live and relate it to  the periods of my life when I think that I did not use this  short time.,0,0,0,1,0,
11003,At a gathering I found myself involuntarily sitting next to two  people who expressed opinions that I considered very low and  discriminating.,0,0,0,0,1,
11004,After my girlfriend had taken her exam we went to her parent's  place.,1,0,0,0,0,
11004,"When, for the first time I realized the meaning of death.",0,1,0,0,0,
11004,When a car is overtaking another and I am forced to drive off the  road.,0,0,1,0,0,
11004,"When I recently thought about the hard work it takes to study, and   how one wants to try something else.  When I read a theoretical  book in English that I did not understand.",0,0,0,1,0,
11004,When I found a bristle in the liver paste tube.,0,0,0,0,1,
11005,When I pass an examination which I did not think I did well.,1,0,0,0,0,
11005,"When one has arranged to meet someone and that person arrives  late, in the meantime one starts thinking about all that could  have gone wrong e.g a traffic accident.",0,1,0,0,0,
11005,When one is unjustly accused of something one has not done.,0,0,1,0,0,
11005,When one's studies seem hopelessly difficult and uninteresting.  ,0,0,0,1,0,
11005,"When one finds out that someone you know is not at all like one  had thought, for instance friends who steal and things like that,  quite unwarranted.",0,0,0,0,1,
11006,Passing an exam I did not expect to pass.,1,0,0,0,0,
11006,When I climbed up a tree to pick apples.  The angle of the ladder  I was on did not enable me to get high enough.  This implied  that the ladder was not very stable.,0,1,0,0,0,
11006,Friends who torture animals.,0,0,1,0,0,
11006,[ Same as in anger.],0,0,0,1,0,
11006,Friends who torture animals.,0,0,0,0,1,
11007,When I had my children.,1,0,0,0,0,
11007,When my 2 year old son climbed up and sat on the 7th floor  balcony with his legs hanging out.  He was holding on tightly to  the upper railing of the balcony but he could have easily lost  his balance when he sat down.,0,1,0,0,0,
11007,When my partner was attacked and lost three teeth.,0,0,1,0,0,
11007,When I see children on T.V from areas devastated by drought and  war.,0,0,0,1,0,
11007,When I nearly walked on a blindworm and then saw it crawl away.,0,0,0,0,1,
11008,When my child was born.,1,0,0,0,0,
11008,"It was winter/spring and the ice was melting.  I was far out on a  jetty and I poked the ice with a long branch to try and break it.   The branch went through the ice and I fell in, the water closed  in over my head.",0,1,0,0,0,
11008,"Unjust accusations directed at me and my way of acting, by  someone close to me.  ",0,0,1,0,0,
11008,Failing an examination.,0,0,0,1,0,
11008,"A drunkard fell, started bleeding and wet himself.  Disgust that  turned into sadness-unpleasantness.",0,0,0,0,1,
11009,When I saw a person I had not seen for a long time.,1,0,0,0,0,
11009,"When, as a child, I was nearly knocked down by a car.",0,1,0,0,0,
11009,"When I heard on the radio that the football match in Belgium had  ended in a catastrophe, and several people had died.  I could not   understand how normal people could behave in such a way.",0,0,1,0,0,
11009,"When I feel lonely, perhaps because I have to study a lot and I  am shut up in my appartment.  Nothing happens in particular  because there is no time for anything else.",0,0,0,1,0,
11009,When one learns through the mass media all the wars and killing  going on in the world.,0,0,0,0,1,
11010,When I was accepted for a course on finance and accounting.,1,0,0,0,0,
11010,"A bus drove over my right leg.  The event itself was not very  frightening but when I had to wait in the emergency ward for  three hours and then my leg began to swell, I was frightened.",0,1,0,0,0,
11010,"At my Summer job, nobody looked after me in particular and I had  to learn all on my own.",0,0,1,0,0,
11010,When I was not accepted as a student in finance and accounting.,0,0,0,1,0,
11010,When I had just moved into my new appartment I found a ventilator  in the kitchen.  I was going to clean it when I found that the  drum was full of mud and slime.  I felt disgusted.,0,0,0,0,1,
11011,Passed an exam by 2 points.,1,0,0,0,0,
11011,"In a cottage in a large forest, I was alone for a while in the  dark.",0,1,0,0,0,
11011,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,0,0,1,0,0,
11011,Railway station good-bye.,0,0,0,1,0,
11011,I saw a cripple in rags with small children in Italy.  He was  probably an imposter.,0,0,0,0,1,
11012,I passed an exam that I was absolutely certain that I had failed.,1,0,0,0,0,
11012,"On the way back from Denmark with a friend on a small yatch,  there was a storm and my friend was blown overboard;  I was very  scared till I managed to get him back onboard.",0,1,0,0,0,
11012,I locked myself out.,0,0,1,0,0,
11012,I missed the last tram home and had to walk in the pouring rain.,0,0,0,1,0,
11012,I found some worms in the food and I had obviously eaten some.,0,0,0,0,1,
11013,When I won a trip to Greece in a competition.,1,0,0,0,0,
11013,When I am out in the dark and a suspicious looking character  comes towards me.,0,1,0,0,0,
11013,"At work, when an elderly man complained unjustifiably about me and  distrusted me.",0,0,1,0,0,
11013,When I had not understood anything after a lecture.,0,0,0,1,0,
11013,When an alcoholic stood dribbling over a food counter.,0,0,0,0,1,
11014,At a friend's birthday party with some of my closest friends.  It  was all very pleasant and one could say that I was happy to have  such good friends.,1,0,0,0,0,
11014,On the way home one Friday night in the heavy rain the car  acquaplanned.  I lost contact with the road surface for a few  seconds.,0,1,0,0,0,
11014,Mad at my dad.,0,0,1,0,0,
11014,A case of unrequited love.,0,0,0,1,0,
11014,A bad smelling cucumber.,0,0,0,0,1,
11015,I felt very happy when I won the football pools.,1,0,0,0,0,
11015,When I flew from Athens to Copenhagen after a holiday.  The plane  was caught in a storm and it began to shake and I thouhght that  we were going to crash.,0,1,0,0,0,
11015,When someone stole my bike.,0,0,1,0,0,
11015,"When I saw the list of books to read for an acccouting course, I  thought \ Oh God how will I ever manaage it!\""""",0,0,0,1,0,
11015,It was when I read a newspaper article on the future and they  foresaw that we would be eating frog-burgers by the year 2000.   An illustration showed a frog between two pieces of bread.,0,0,0,0,1,
11016,When the whole family gets together for a one week holiday.   Everybody feels free and the trip is well planned.  It works out  well and we enjoy ourselves.,1,0,0,0,0,
11016,"When I could not find my 2 year old daughter.  I ran and looked  for her everywhere and could not find her.  (I finally found her,  she had gone to bed to sleep)",0,1,0,0,0,
11016,When friends try to put me down or hurt me.  ,0,0,1,0,0,
11016,Marriage crises.  Boredom.,0,0,0,1,0,
11016,When someone makes advances that one does not want.,0,0,0,0,1,
11017,When I passed the first examination that I had to repeat.,1,0,0,0,0,
11017,When I drove to Stockholm for the first time and drove off the  Stora Hissingen road at the wrong exit.,0,1,0,0,0,
11017,When my boyfriend went away for a month long holiday without me.,0,0,1,0,0,
11017,Last year when I worked during the Summer holidays and studied  at the same time for an examination I had to repeat; my boyfriend  went to Greece for a holiday for a month.,0,0,0,1,0,
11017,When a dog is left whining outside a shop.,0,0,0,0,1,
11019,The day I was told that I had been accepted as a student of  economics.,1,0,0,0,0,
11019,"While taking a short cut through the Vasa park, I was surrounded  by three people who tried to steal my money.  I was scared and  was saved only by the appearance of other people.",0,1,0,0,0,
11019,"At a restaurant I observed how the gypsies tried to get money by  cheating the foreigners i.e non Swedish speaking.  My anger had  nothing to do with hatred against foreigners, but it was an  expression of the anger I feel when I see people being used .",0,0,1,0,0,
11019,At the begining of a new course one is afraid of encountering  problems one can not manage.  Thoughts revolve around failing  the subject and the consequences it would have for the future.,0,0,0,1,0,
11019,While walking in town I noticed how the police harrassed a man  who was under the influence of alcohol.  They terrified him with  the thought of arrest by driving close behind him on a pedestrian  street.  My disgust was directed at the gestures and the facial  expressions of the policemen; they seemed to be enjoying  themselves.,0,0,0,0,1,
11020,When I found out that I had passed the last two exams by a  margin of three marks.,1,0,0,0,0,
11020,When my father was ill and was waiting for the results of his tests.,0,1,0,0,0,
11020,When I got caught in the pouring rain last Thursday and did not  have a raincoat on me.,0,0,1,0,0,
11020,When I failed an exam.,0,0,0,1,0,
