language,text,Anger,Disgust,Fear,Joy,Sadness,Surprise
Amharic,እንኳን እግዚአብሔር ረዳችህ እንዲህ ነው : በደስታችሁ እጅግ ደስ ብሎናል::: ተባረኩ እንዲህ ነው,0,0,0,1,0,0
Amharic,ይህንን xx ሰው ብለሽ ማነጋገርሽ የሚገርም ነው።,0,1,0,0,0,1
Amharic,Ermias Yoseph ስደተኛ መቃብር አነፍናፊ ነሃ ወደ ማዳጋስካርህ ተመለስ ምድረ ደነዝ,0,1,0,0,0,0
Amharic,አሁን ቤት በተለያዩ ቢፖስት ተላቻቅ ነበር አይደል,0,0,0,0,0,0
Amharic,እንኳን ተስፋ አደርጋለሁ ሁሉም ነገር ጥሩ እንደሚሆን ተስፋ አደርጋለሁ?,0,0,0,1,0,0
Amharic,ሁሉም ነገር ጥሩ እንደሚሆን ተስፋ አደርጋለሁ እንኳን ተስፋ አደርጋለሁ?,0,0,0,1,0,0
Amharic,"እንኳን ተስፋ አደርጋለሁ ሁሉም ነገር ጥሩ እንደሚሆን ተስፋ አደርጋለሁ?”
] }",0,0,0,1,0,0
Amharic,አንተኛው ግን ደንቆሮ ነህ ፈጣሪ አይማኖትን አልፈጠረም,0,1,0,0,0,0
Amharic,"አንተኛው ግን ደንቆሮ ነህ ፈጣሪ አይማኖትን አልፈጠረም”
] }",0,1,0,0,0,0
Amharic,ይኸን ሰውዬ ስሙትማ ጭልጥ ያለ መርዝና ዘረኛ ነው ነጭ ፀጉር አውጥቷል መቃብሩ የተማሰ አፉ የሻገተ ሽማግሌ እውነት ቢናገር ምን አለበት,0,1,0,0,0,0
Amharic,"ይኸን ሰውዬ ስሙትማ ጭልጥ ያለ መርዝና ዘረኛ ነው”
] }",0,1,0,0,0,0
Amharic,እንዴ እርሶ ደግሞ! ማነው እርድ ጥሩ ስም አይደለም ያለው ማነው?!,0,0,0,0,0,0
Amharic,እንዴ እርሶ ደግሞ! ማነው እርድ ጥሩ ስም አይደለም ያለው ማነው?!,0,0,0,0,0,0
Amharic,እንዴ እርሶ ደግሞ! ማነው እርድ ጥሩ ስም አይደለም ያለው ማነው?!,0,0,0,0,0,0
Amharic,"እንዴ እርሶ ደግሞ! ማነው እርድ ጥሩ ስም አይደለም ያለው ማነው?!”
] }",0,0,0,0,0,0
Amharic,እንዴ እርሶ ደግሞ! ማነው እርድ ጥሩ ስም አይደለም ያለው ማነው?!,1,0,0,0,1,0
Amharic,እንዴ እርሶ ደግሞ! ማነው እርድ ጥሩ ስም አይደለም ያለው ማነው?!,1,0,0,0,1,0
Amharic,እንዴ እርሶ ደግሞ! ማነው እርድ ጥሩ ስም አይደለም ያለው ማነው?!,1,0,0,0,1,0
Amharic,"እንዴ እርሶ ደግሞ! ማነው እርድ ጥሩ ስም አይደለም ያለው ማነው?!”
] }",1,0,0,0,1,0
