language,text,Anger,Disgust,Fear,Joy,Sadness,Surprise
Russian,"Вошла в тви с компа и ошеломлена, потому что новое оформление ОО.",0,0,0,0,0,1
Russian,"Вошла в тви с компа и поражена, так как новое оформление ОО.",0,0,0,0,0,1
Russian,"Вошла в тви с компа и удивлена, ибо новое оформление ОО.",0,0,0,0,0,1
Russian,"Вошла в тви с компа и изумлена, так как новое оформление ОО.",0,0,0,0,0,1
Russian,"Вошла в тви с компа и поражена, ибо новое оформление ОО.",0,0,0,0,0,1
Russian,Всё это просто ужасно!!!,1,0,0,0,0,0
Russian,Это просто ужасно!!!,1,0,0,0,0,0
Russian,"О, радость! Стала тетей! Малышка, 52 см, 3100 кг!",0,0,0,1,0,0
Russian,"Веселье! Стала тетей! Малышка, 52 см, 3100 кг!",0,0,0,1,0,0
Russian,"Как же страшно понимать, что социальные сети стали неотъемлемой частью моей жизни.",0,0,1,0,0,0
Russian,"Очень страшно осознавать, что социальные сети стали неотъемлемой частью моей жизни.",0,0,1,0,0,0
Russian,"Очень страшно понимать, что социальные сети стали неотъемлемой частью моей жизни.",0,0,1,0,0,0
Russian,абсолютно отвратительные люди... я просто не могу терпеть их.,1,1,0,0,0,0
Russian,ебнутые ибо. там они и на своих территориях проводят чистки. им много причин не нужно.,1,1,0,0,0,0
Russian,ебнутые ибо. там они и на своих территориях организуют чистки. им много причин не нужно.,1,1,0,0,0,0
Russian,"Часто я думаю, что мне нужно вызвать экзорциста, так как шестимесячный ребёнок не должен издавать такие звуки, они пугают.",0,0,1,0,0,0
Russian,"Я всё чаще думаю, что мне нужно вызвать экзорциста, так как шестимесячный ребёнок не должен издавать такие звуки, они пугают.",0,0,1,0,0,0
Russian,"иди нахер, это просто смешно!",1,0,0,0,0,0
Russian,в интернете введите запрос и вы получите всё.,0,0,0,0,0,0
Russian,в интернете введите запрос и вы получите полный набор.,0,0,0,0,0,0
Russian,в интернете введите запрос и вы получите полный набор информации.,0,0,0,0,0,0
Russian,в интернете введите запрос и вы получите полный набор данных.,0,0,0,0,0,0
Russian,"Вау, дорогой, как ты научился делать куннилингус так? — Где, где это произошло?",0,0,0,0,0,1
Russian,"Вау, дорогой, ты научился делать куннилингус так? — Где, где это произошло?",0,0,0,0,0,1
Russian,"Вау, дорогой, ты научился делать куннилингус так? — Где, где это произошло?",0,0,0,0,0,1
Russian,"Вау, дорогой, ты научился делать куннилингус так? — Где, где это произошло?",0,0,0,0,0,1
Russian,"Вау, дорогой, ты научился делать куннилингус так? — Где, где это произошло?",0,0,0,0,0,1
Russian,"Я больше не буду курить, это отвратительно, такой запах",0,1,0,0,0,0
Russian,"Я больше не буду курить, это ужасно, такой запах",0,1,0,0,0,0
Russian,"Спасибо большое, ребята, за вашу поддержку!!! :*",0,0,0,1,0,0
Russian,"Ребят, огромное спасибо за вашу поддержку!!! :*",0,0,0,1,0,0
Russian,"Ребят, большое спасибо за вашу поддержку!!! :*",0,0,0,1,0,0
Russian,"Окей, я скачу плагин.",0,0,0,0,0,0
Russian,"Невероятно, когда встречаешь человека, пытаясь вспомнить, из какой он группа, а он на самом деле одноклассник",0,0,0,0,0,1
Russian,"Ошеломляющий момент, когда видишь человека, пытаясь вспомнить, из какой он группа, а он на самом деле одноклассник",0,0,0,0,0,1
