language,text,Anger,Disgust,Fear,Joy,Sadness,Surprise
Somali,"Ku soo warran @<username> kkk sxb, nooocaaas ooo kale nacnacda ayaaa ka dhameeeyaaa carabtu waaa cadowga somalida waaana cunsuriyiiin sxb markaaa maxaaa dulmigoooda anaga galay diiintaaas islaaamka ayaaanu wada aaaminsanahay markaaa iyaguna dhinacoooda haka aaaminsanaaadaaan anagu dhic",1,1,0,0,0,0
Somali,2badiiinaba baramijyo qurux badan masooo daysan dumar un daba dhigataaan lkn ck Ku dhama ooo fananinta iyaga is qawiyo uuu sooo ban dhigaaa lkn adi dumarka xuntoooda aaa gobta anyway inaaa hishiiisan ooo waxaaan iska deysan wax kafican maleh Somali layahey hormarkiiina kashaqeeey,1,1,0,0,0,0
Somali,Aawe ciiidmadii xududka inta xaaafadaha dhexdoooda ayuuu socday ooo anay cidi qaban waaa in idinka laydin maxkamadeeeya. Ciiidan fashilmay,1,1,0,0,0,0
Somali,"Adimaaa xurnimo sheeegayo ooo ku soo dhashay waxa Mogadisho iyo dadkeda ku sameysay 20006 ila 20008, xasuuqii ku dhashay shacabka Somaliyed, USER Danbiiile URL URL",1,1,0,0,0,0
Somali,Afsoomaaliga masaaasad waliba Afsoomaaliga ku tahay wax quruxda Qudhmay eee Nolosha ka dhacay 🤨🤫,1,1,0,0,0,0
Somali,"Alpha farah alpha, iyo dhilo nuuura, orda futada u dhigta. Meeelahaaad isu barateen eee leydinku farafareyn jirey gun yahay nacaladii ilmo dhilo. Kaligey baaan idinkaga cabaaadin fuley baaa lagu yaqaaan iney dhowr isu sooo raacaaan badowyey.",1,1,0,0,0,0
Somali,"Asia Mohamed, Shame on you yaaa sharmuuuto adigooo naaag ah baaad fuck nin raga ku leeedahay naaa duuuflahan ilkaha dheeer eee ooomaaar miyuuu ku qabaaa maxaaa adiga kaaa galey waaa laba rag cirkana hayskala sooo dhacaaan.",1,1,0,0,0,0
Somali,"Marka ay dhaqan kuuu noqoto, ooo ku dhalatay beeen laguuu sooo koriyey guri beeen dhibaaato ayey leeedahay Wasiiir Cabdulllaaahi Ciiilmoooge ayaaa saxiiixay heshiiiska hawada loooga sooo celinaaayey USER 30 April 2013 Dowladddiii Madaxweyne Xasan Sheeekh  Qof xaqiran inaaad tahay muuuqataaa URL URL",1,1,0,0,0,0
Somali,"Oo dhaqan kuuu noqoto, ooo ku dhalatay beeen laguuu sooo koriyey guri beeen dhibaaato ayey leeedahay Wasiiir Cabdulllaaahi Ciiilmoooge ayaaa saxiiixay heshiiiska hawada loooga sooo celinaaayey USER 30 April 2013 Dowladddiii Madaxweyne Xasan Sheeekh  Qof xaqiran inaaad tahay muuuqataaa URL URL",1,1,0,0,0,0
Somali,Cawankaaas gabadha sidan ku dhaqan ah u dillay waa in tallabada ku hoos u yahay ooo tusaaale unoqotay shaqsi kasta ooo ficilka ooo kaso fuli karo. Hadii kallu dhawaaan yanan maqalina ninkii shaaadh reer hebele ayuu ku baxsaday waxan ooo kallu waa ceeb!!!,1,1,0,0,0,0
Somali,"Ciddda qaylineysa waa la yaqaaanaa sheekhoonka waa Siyad Barre, waxay arkaan kacdoonkii aboorkii Siyad iyo wixi uuu wataay eee wadanka xaraanta ku cunaaayey saaray inuuu billowday marka xarkey ceshan layihiiine meeela ha iska qayliyaaan URL",1,1,0,0,0,0
Somali,Ck magaciiisa Marka ku dhawaqeysid afka iska sooo rumey ure... shaaati Iskama badale Ck❤ ka dhamaw,1,1,0,0,0,0
Somali,"Cunsuri cunsuri ayaa ku dhaqan fanxwayne, abti ragsi arinbay u xiran yihiiin",1,1,0,0,0,0
Somali,maxayn falaq falaqdan ayaa ku qarshaynayso video ku dhaqanaysa idirisle ayaa ku qarshaynayso marka ay ku qarshaynayso dadka ku dhaqanayso ha usoo ku qarshaynayso wax khyrleh,1,1,0,0,0,0
Somali,"Madaxweyne Farmajo waa ninkii u dhaqdaqayn Dawladnimada Somalia ku dhaqdaqayn Gabaaadka Wadaniyaddda. 4 sano ayuuu xilka uga tuuray si sharci darrro ah Madaxweyneyaaasha 3 Maaamul-Goboleeed, Gudooomiyihiii Golaha",1,1,0,0,0,0
Somali,Filimkam cabsi cabsida yaaa u daaaray Muuuse  Iska daaa katiiinade waxay ahayd in maxkamaddda USER Hague mar hore la geeeyo  40 sano eee noloshiiisa u dambaysay waxaaan dil dhac hanti iyo isku dir beeelo ahayn kama shaqaynaynin  Somaliland Somalia URL,1,1,0,0,0,0
Somali,"Fuad ayaa u qabtay maleH fuad cambaskolad 😂😂😂, Walhi waxan qaniiiskaH gabdh nimdiii buuu meeel kaga dhacay, #darisleH #nin #culuz #karif balha #marshanad banu sugaybyeH, #like 😂igu cawi #abaha la janeye",1,1,0,0,0,0
Somali,"Markaana xukunka la wareeegno gaaalada iyo Dhagartooodaba waaan isla buuufinaynaa, Muslimka alllaha quweeeyo",1,1,0,0,0,0
Somali,"Iimaaanka xaaasdnima hawsha inteee ku galisay, hadaaad nin tahay ka hadal weeerarkiii xamar ka dhacay taaas baaa lagu qarinayaaa arintan Abiy Axmed inaaad dadka ka caqli badan tihiiin baaad u haysataaa.",1,1,0,0,0,0
Somali,"ilmo aysoooxaday ayay haysataye ilmaha halabaaafiyo, oromo halaiskaqabto inay ciyaaalkiii yaryaraaa ay xadan ayay bilaaabeeen",1,1,0,0,0,0
Somali,"Jahanabaa ku sugaysee orod ku dhacay,",1,1,0,0,0,0
Somali,"Kadib dagaaal, dhimasho, dhaaawac iyo qax, xukuuumaddda federaaalka Sooomaaaliya eee wakhtigeeediii dhammmaaaday ayaaa lagu khasbay inay ka laaabto mudddo kordhin si wayn loooga sooo horjeeestay, taaasi ooo taaariiikh xun ku reeebtay maaamulka madaxwayne Farmaaajo.",1,1,0,0,0,0
Somali,Kan adiga social media ku caynaynay eee 10ka sano ad iskaga xukunto ma kufsi buuu geysty isagu?,1,1,0,0,0,0
Somali,Kkkk bur gabo ilmo aya dhashay mid wa la wayay miyad la timid tug tug dhalay o qabilku ku wayn yahay ayad tahay,1,1,0,0,0,0
Somali,"Labalabuuuf NacalaD allle hakigu dhacdo 😠, Dirisle Heer sareH walalaha❤",1,1,0,0,0,0
Somali,"Maanta qaaawan isma qaaado ma maqashay wlll e canshuuurta yar shacabkan laga gurbiyo, inta idin dhahaaan waxban idin dhisaynaaa ciiidan iyo wax la mid ah maxa yelay goja cade taw idinku dhigay baaa dan weligiiin kaso kabsaneyn dulmiga aaad la gasheeen ayana idinku.",1,1,0,0,0,0
Somali,Maantaan baaduu dirisow walaah hada shatiggga xumee ku caan baxday kaa guba,1,1,0,0,0,0
Somali,Maatidii uuu madfaca la dhacayay ma dadnibaa ma diiin baa wuxu caqli xumaa muuuse qamuuunyo,1,1,0,0,0,0
Somali,Madaxwayne mustaf maxamuuud doooda ooo keeenay qof shaaahiiisa iska cabaaaya waxaaan u arkaaa qalad qofna ma oran karo argagaxisada yaaam qabiiil lagula dagaaalamin  Wax walba ooo la sameeeyo saaameyn ayay leeeyihiiin waaana la maaarayn dooonaaa URL,1,1,0,0,0,0
