language,text,Anger,Disgust,Fear,Joy,Sadness,Surprise
Sundanese,"mang dana, uing ngopi, ngapun ieu?",0,0,0,1,0,0
Sundanese,"Kabeh karep, kuring teu nanaon nuhun pisan tos nonton, kumaha kabar?",0,0,0,1,0,0
Sundanese,"Kuring teu nanaon nuhun pisan tos nonton, kabeh karep, kumaha kabar?",0,0,0,1,0,0
Sundanese,"ulun ka tasikna, urang ngadeg asup kana konten ieu, karna urang resepna aya youtuber anu ngaharumkeun ngaran sunda jeung bisa mawa sunda kana kanca dunia, kde d tunguan mang ulin k tasikna😁",0,0,0,1,0,0
Sundanese,"Kabeh bakalan suksesna ieu mah, pokona! 👍👍👍",0,0,0,1,0,0
Sundanese,"Kabehna ieu mah sukses, pokona! 👍👍👍",0,0,0,1,0,0
Sundanese,"Suksesna kabehna ieu mah, pokona! 👍👍👍",0,0,0,1,0,0
Sundanese,FIKSI mang dana kunn tara ngabentuk video deui mang dana,0,0,0,0,0,0
Sundanese,FIKSI mang dana kunn tara ngabentuk video deui dana,0,0,0,0,0,0
Sundanese,"MasyaAllah, teh azmy sareng neng syelfi mantep kitu suanteuna, jadi emut nuju SD pernah nyanyi lagi ieu pas Samen hehe,",0,0,0,1,0,0
Sundanese,Kabeh deui atuh nu judulna kecewa,0,0,0,0,0,0
Sundanese,Naha ieu mang hese di puter atuhna,1,1,0,0,0,1
Sundanese,"Naha ieu mang hese di puter atuhna, naha ieu mang hese di puter atuhna",1,1,0,0,0,1
Sundanese,"Kakarak cita² hyg jadi korsi, Maafkeun abdi gusti",0,0,0,1,1,0
Sundanese,"Wasuh lewih parahna, mah geuningan pa, hahaha!",0,0,0,1,0,1
Sundanese,"Minal Aidin Walfaidzin, Mohon maaf lahir dan batin, mang fiksi Joss, laguna, mang ngeunaheun mantapss",0,0,0,1,0,0
Sundanese,"Kasih, aya nu apalna? 😂😂",0,0,0,1,0,0
Sundanese,"Kasih, aya nu apalna? 😂😂",0,0,0,1,0,0
Sundanese,"Kasih, aya nu apalna? 😂😂",0,0,0,1,0,0
Sundanese,"Kasih, aya nu apalna? 😂😂",0,0,0,1,0,0
Sundanese,"Kasih, aya nu apalna? 😂😂",0,0,0,1,0,0
Sundanese,Ku ngaruang nuhun pisan tong hilap ngalakukeun share video ieu meh ngambah sumanget,0,0,0,1,0,0
Sundanese,"Atuh Sunda teh Aya di Jawa, maenya teu apal, ngawona 😭💔",0,0,0,0,1,1
Sundanese,Kahiji koment Kahiji ngalike Mantapp lanjutkeunna,0,0,0,1,0,0
Sundanese,"Bulan ieu sajuta subb mang insyaallah,",0,0,0,1,0,0
Sundanese,"Ari aya ngawartu, ayeuna ath mump",0,0,0,1,1,0
Sundanese,"taros ulahna teu mahal, calo mahna teu mahal, wartosna ti santosa atanapi teu mahal, sreng kampungna teu mahal",1,0,0,0,0,0
Sundanese,Kasih nu ngabalikkeun babaturan nu ngadeg di tempat ngineumna ieu sigana 😅,0,0,0,1,0,0
Sundanese,Kopi teh anu ngah karepna sih?,0,0,0,1,0,0
Sundanese,"puntenna mantuankeunna, ieu aya rerencangan ti lampung nongton ieu pidio jol naroskn ai jarambah teh naon nya? pun bingung ngartikeun na nuhun ah sateuacan na",0,0,0,1,0,0
Sundanese,"puntenna mantuankeunna, ieu aya rerencangan ti lampung nongton ieu pidio jol naroskn ai jarambah teh naon nya? pun bingung ngartikeun na nuhun ah sateuacan na",0,0,0,1,0,0
Sundanese,"puntenna mantuankeunna, ieu aya rerencangan ti lampung nongton ieu pidio jol naroskn ai jarambah teh naon nya? pun bingung ngartikeun na nuhun ah sateuacan na",0,0,0,1,0,0
Sundanese,"puntenna mantuankeunna, ieu aya rerencangan ti lampung nongton ieu pidio jol naroskn ai jarambah teh naon nya? pun bingung ngartikeun na nuhun ah sateuacan na",0,0,0,1,0,0
Sundanese,"puntenna mantuankeunna, ieu aya rerencangan ti lampung nongton ieu pidio jol naroskn ai jarambah teh naon nya? pun bingung ngartikeun na nuhun ah sateuacan na",0,0,0,1,0,0
Sundanese,"Ku ngadangu sora SIRINE, hahaha, teu kuat!",0,0,0,1,0,0
Sundanese,"Teu kuat ngadangu sora SIRINE, hahaha, ngadangu!",0,0,0,1,0,0
Sundanese,"Teu kuat ngadangu sora SIRINE, hahaha, ngadangu sora SIRINE!",0,0,0,1,0,0
Sundanese,"Teu kuat ngadangu sora SIRINE, hahaha, ngadangu sora SIRINE, hahaha!",0,0,0,1,0,0
Sundanese,"Teu kuat ngadangu sora SIRINE, hahaha, ngadangu sora SIRINE, hahaha, ngadangu!",0,0,0,1,0,0
Sundanese,Abi ge lain Sunda tapi bangga jeung Sunda hehe salam horas ti Sumatera,0,0,0,1,0,0
Sundanese,"Kaduhung teu mulang ka Majalengka, 😭😭😭",0,0,0,0,1,1
Sundanese,Judul lagu nu terakhir naon a?,0,0,0,0,0,0
Sundanese,Judul lagu nu pungkasnaon a?,0,0,0,0,0,0
Sundanese,Tiap ngali video ieu sok hayang gakgak wae hahaha,0,0,0,1,0,0
Sundanese,keur resep paisnao mang haa,0,0,0,1,0,0
Sundanese,"keur resep paisnao mang haa, kuring kagum!",0,0,0,1,0,0
Sundanese,"Hatur nuhun atuh atos masihan elmu, sing urng sunda oge abimah teu teurang sadayana atuh,",0,0,0,1,0,0
